ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
35502-2502-1.zip,202202091314,阿武郡阿武町大字木与,道-232,,
35502-2502-1.zip,202202091314,阿武郡阿武町大字木与,道-233,,
35502-2502-1.zip,202202091314,阿武郡阿武町大字木与,655-1,,
35502-2502-1.zip,202202091314,阿武郡阿武町大字木与,657-1,,
35502-2502-1.zip,202202091314,阿武郡阿武町大字木与,657-2,,
35502-2502-1.zip,202202091314,阿武郡阿武町大字木与,657-3,,
35502-2502-1.zip,202202091314,阿武郡阿武町大字木与,657-4,,
35502-2502-1.zip,202202091314,阿武郡阿武町大字木与,659-1,,
35502-2502-1.zip,202202091314,阿武郡阿武町大字木与,659-2,,
35502-2502-1.zip,202202091314,阿武郡阿武町大字木与,659-3,,
35502-2502-1.zip,202202091314,阿武郡阿武町大字木与,659-5,,
35502-2502-1.zip,202202091314,阿武郡阿武町大字木与,659-6,,
35502-2502-1.zip,202202091314,阿武郡阿武町大字木与,659-7,,
35502-2502-1.zip,202202091314,阿武郡阿武町大字木与,660-2,,
35502-2502-1.zip,202202091314,阿武郡阿武町大字木与,660-4,,
35502-2502-1.zip,202202091314,阿武郡阿武町大字木与,661-1,,
35502-2502-1.zip,202202091314,阿武郡阿武町大字木与,661-3,,
35502-2502-1.zip,202202091314,阿武郡阿武町大字木与,661-6,,
35502-2502-1.zip,202202091314,阿武郡阿武町大字木与,662-1,,
35502-2502-1.zip,202202091314,阿武郡阿武町大字木与,663,,
35502-2502-1.zip,202202091314,阿武郡阿武町大字木与,663-3,,
35502-2502-1.zip,202202091314,阿武郡阿武町大字木与,663-4,,
35502-2502-1.zip,202202091314,阿武郡阿武町大字木与,663-6,,
35502-2502-1.zip,202202091314,阿武郡阿武町大字木与,663-7,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-1,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-2,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-3,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-4,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-5,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-6,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-7,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-8,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-9,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-10,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-11,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-12,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-13,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-14,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-15,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-16,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-17,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-18,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-21,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-22,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-23,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-24,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-25,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-26,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-28,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-29,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-30,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-31,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-32,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-33,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,別図-34,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-1,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-2,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-3,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-4,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-5,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-6,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-7,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-9,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-10,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-11,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-12,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-13,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-15,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-16,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-17,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-18,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-19,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-20,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-21,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-22,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-23,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-25,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-26,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-27,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-28,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-29,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-30,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-31,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-32,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-33,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-34,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-35,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-36,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-37,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-38,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-39,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-40,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-41,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-42,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-43,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-44,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-45,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-46,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-47,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-48,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-49,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-50,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-52,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-53,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-54,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-55,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-56,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-57,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-58,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-59,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-60,,
35502-2502-2.zip,202202091314,阿武郡阿武町大字福田上,水-61,,
